epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.909,1.80472,1.45381,1.25091,0,0,0,0,2.75943,12.6385,3.39486,0.000465978,0.000465978,0.000465978
2,453.941,1.74524,1.03225,1.25324,0,0,0,0,3.23049,6.80831,3.47595,0.000939756,0.000939756,0.000939756
3,677.462,1.75828,1.01401,1.26058,0,0,0,0,3.26946,14.1699,4.27529,0.0014033,0.0014033,0.0014033
4,895.274,1.71067,0.98199,1.24709,0,0,0,0,3.50532,9.20788,3.77778,0.00139438,0.00139438,0.00139438
5,1112.75,1.76126,0.99694,1.25497,0,0,0,0,3.47942,9.92852,3.68418,0.00136785,0.00136785,0.00136785
6,1330.5,1.77074,1.04785,1.26676,0,0,0,0,3.45732,9.46804,4.32661,0.00133423,0.00133423,0.00133423
7,1550.09,1.70764,0.95487,1.23434,0,0,0,0,3.41844,7.02116,3.71148,0.00129391,0.00129391,0.00129391
8,1768.5,1.67528,0.94056,1.22044,0,0,0,0,3.14487,8.32582,3.45241,0.00124731,0.00124731,0.00124731
9,1984.85,1.65786,0.92697,1.22465,0,0,0,0,3.68615,6.48415,4.24108,0.00119496,0.00119496,0.00119496
10,2202.68,1.63832,0.87936,1.20731,0,0,0,0,2.97371,7.68234,3.32584,0.00113742,0.00113742,0.00113742
11,2430.64,1.65439,0.87891,1.22681,0,0,0,0,3.32744,6.29048,3.69182,0.00107532,0.00107532,0.00107532
12,2648.48,1.62405,0.84516,1.1933,0,0,0,0,3.10406,7.74657,3.42467,0.00100935,0.00100935,0.00100935
13,2866.6,1.62159,0.84864,1.19378,0,0,0,0,3.26848,6.88938,3.49245,0.00094023,0.00094023,0.00094023
14,3084.26,1.61657,0.84248,1.20591,0,0,0,0,3.21691,6.75103,3.58885,0.000868712,0.000868712,0.000868712
15,3301.77,1.60761,0.82302,1.19173,0,0,0,0,3.07974,6.66914,3.55501,0.000795584,0.000795584,0.000795584
16,3519.64,1.59382,0.81942,1.17852,0,0,0,0,2.9815,6.58416,3.39723,0.000721645,0.000721645,0.000721645
17,3739.62,1.59215,0.80866,1.19039,0,0,0,0,2.92799,6.68369,3.15998,0.000647706,0.000647706,0.000647706
18,3957.72,1.57181,0.80444,1.17665,0,0,0,0,2.82596,6.91095,3.06501,0.000574578,0.000574578,0.000574578
19,4176.23,1.52233,0.77829,1.1613,0,0,0,0,3.20789,7.35519,3.19503,0.00050306,0.00050306,0.00050306
20,4394.33,1.53376,0.76533,1.16854,0,0,0,0,3.02287,6.63433,3.30949,0.000433938,0.000433938,0.000433938
21,4611,1.55752,0.75748,1.20114,0,0,0,0,3.32178,7.39623,3.43187,0.000367968,0.000367968,0.000367968
22,4826.77,1.54446,0.73981,1.19599,0,0,0,0,3.26246,7.14448,3.30512,0.000305872,0.000305872,0.000305872
23,5042.3,1.52481,0.71713,1.18414,0,0,0,0,3.23661,7.06136,3.36599,0.000248332,0.000248332,0.000248332
24,5259.71,1.51221,0.71043,1.18063,0,0,0,0,2.98398,6.87489,3.31463,0.000195978,0.000195978,0.000195978
25,5475.35,1.50667,0.69966,1.19509,0,0,0,0,2.8731,6.82344,3.20636,0.000149383,0.000149383,0.000149383
26,5692.23,1.48389,0.69018,1.18165,0,0,0,0,2.86955,6.87257,3.20912,0.000109058,0.000109058,0.000109058
27,5931.33,1.48308,0.68838,1.18071,0,0,0,0,2.80289,6.9986,3.14483,7.54441e-05,7.54441e-05,7.54441e-05
28,6148.2,1.49287,0.69285,1.17852,0,0,0,0,2.83271,7.02205,3.176,4.89104e-05,4.89104e-05,4.89104e-05
29,6365.21,1.46826,0.67608,1.15823,0,0,0,0,2.83981,6.9829,3.18364,2.97474e-05,2.97474e-05,2.97474e-05
30,6582.36,1.47037,0.68385,1.17244,0,0,0,0,2.82735,6.93765,3.17719,1.8165e-05,1.8165e-05,1.8165e-05
